Results for maxStreak = 6, repetitions = 100000

{'teams': 32, 'avg_no_repeat': 62.96476, 'min_no_repeat': 20, 'max_no_repeat': 114, 'avg_max_streak': 27.96605, 'min_max_streak': 1, 'max_max_streak': 85, 'avg_drr': 723.98098, 'min_drr': 640, 'max_drr': 814, 'total_no_repeat': 6296476, 'total_max_streak': 2796605, 'total_drr': 72398098, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 34, 'avg_no_repeat': 66.90398, 'min_no_repeat': 20, 'max_no_repeat': 124, 'avg_max_streak': 31.84567, 'min_max_streak': 3, 'max_max_streak': 82, 'avg_drr': 819.12856, 'min_drr': 712, 'max_drr': 914, 'total_no_repeat': 6690398, 'total_max_streak': 3184567, 'total_drr': 81912856, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 36, 'avg_no_repeat': 70.99996, 'min_no_repeat': 26, 'max_no_repeat': 126, 'avg_max_streak': 35.99727, 'min_max_streak': 4, 'max_max_streak': 95, 'avg_drr': 920.3657, 'min_drr': 822, 'max_drr': 1018, 'total_no_repeat': 7099996, 'total_max_streak': 3599727, 'total_drr': 92036570, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 38, 'avg_no_repeat': 75.00208, 'min_no_repeat': 32, 'max_no_repeat': 136, 'avg_max_streak': 40.35323, 'min_max_streak': 4, 'max_max_streak': 105, 'avg_drr': 1027.38354, 'min_drr': 928, 'max_drr': 1136, 'total_no_repeat': 7500208, 'total_max_streak': 4035323, 'total_drr': 102738354, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 40, 'avg_no_repeat': 79.00342, 'min_no_repeat': 30, 'max_no_repeat': 140, 'avg_max_streak': 45.04483, 'min_max_streak': 9, 'max_max_streak': 101, 'avg_drr': 1140.33638, 'min_drr': 1036, 'max_drr': 1252, 'total_no_repeat': 7900342, 'total_max_streak': 4504483, 'total_drr': 114033638, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 42, 'avg_no_repeat': 82.96684, 'min_no_repeat': 34, 'max_no_repeat': 144, 'avg_max_streak': 49.86748, 'min_max_streak': 13, 'max_max_streak': 116, 'avg_drr': 1259.20956, 'min_drr': 1144, 'max_drr': 1370, 'total_no_repeat': 8296684, 'total_max_streak': 4986748, 'total_drr': 125920956, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 44, 'avg_no_repeat': 86.96938, 'min_no_repeat': 34, 'max_no_repeat': 156, 'avg_max_streak': 55.01788, 'min_max_streak': 13, 'max_max_streak': 121, 'avg_drr': 1383.98846, 'min_drr': 1260, 'max_drr': 1506, 'total_no_repeat': 8696938, 'total_max_streak': 5501788, 'total_drr': 138398846, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 46, 'avg_no_repeat': 90.9235, 'min_no_repeat': 36, 'max_no_repeat': 168, 'avg_max_streak': 60.40414, 'min_max_streak': 13, 'max_max_streak': 128, 'avg_drr': 1514.51928, 'min_drr': 1392, 'max_drr': 1642, 'total_no_repeat': 9092350, 'total_max_streak': 6040414, 'total_drr': 151451928, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 48, 'avg_no_repeat': 94.96002, 'min_no_repeat': 38, 'max_no_repeat': 158, 'avg_max_streak': 66.04263, 'min_max_streak': 18, 'max_max_streak': 136, 'avg_drr': 1651.11132, 'min_drr': 1528, 'max_drr': 1774, 'total_no_repeat': 9496002, 'total_max_streak': 6604263, 'total_drr': 165111132, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 50, 'avg_no_repeat': 98.99076, 'min_no_repeat': 42, 'max_no_repeat': 176, 'avg_max_streak': 71.88476, 'min_max_streak': 19, 'max_max_streak': 144, 'avg_drr': 1793.29824, 'min_drr': 1658, 'max_drr': 1922, 'total_no_repeat': 9899076, 'total_max_streak': 7188476, 'total_drr': 179329824, 'valid_count': 0, 'valid_percentage': 0.0}
