Results for maxStreak = 3, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 6.654, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 1.49965, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.03596, 'min_drr': 0, 'max_drr': 18, 'total_no_repeat': 665400, 'total_max_streak': 149965, 'total_drr': 803596, 'valid_count': 64, 'valid_percentage': 0.064}
{'teams': 6, 'avg_no_repeat': 10.7717, 'min_no_repeat': 0, 'max_no_repeat': 36, 'avg_max_streak': 5.25063, 'min_max_streak': 0, 'max_max_streak': 24, 'avg_drr': 20.90502, 'min_drr': 6, 'max_drr': 40, 'total_no_repeat': 1077170, 'total_max_streak': 525063, 'total_drr': 2090502, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.84336, 'min_no_repeat': 0, 'max_no_repeat': 46, 'avg_max_streak': 10.99274, 'min_max_streak': 0, 'max_max_streak': 38, 'avg_drr': 39.67874, 'min_drr': 18, 'max_drr': 62, 'total_no_repeat': 1484336, 'total_max_streak': 1099274, 'total_drr': 3967874, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.89786, 'min_no_repeat': 0, 'max_no_repeat': 58, 'avg_max_streak': 18.72757, 'min_max_streak': 1, 'max_max_streak': 53, 'avg_drr': 64.32868, 'min_drr': 32, 'max_drr': 90, 'total_no_repeat': 1889786, 'total_max_streak': 1872757, 'total_drr': 6432868, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.9189, 'min_no_repeat': 0, 'max_no_repeat': 58, 'avg_max_streak': 28.48763, 'min_max_streak': 4, 'max_max_streak': 72, 'avg_drr': 94.85222, 'min_drr': 64, 'max_drr': 132, 'total_no_repeat': 2291890, 'total_max_streak': 2848763, 'total_drr': 9485222, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.8655, 'min_no_repeat': 2, 'max_no_repeat': 64, 'avg_max_streak': 40.28855, 'min_max_streak': 10, 'max_max_streak': 93, 'avg_drr': 131.28852, 'min_drr': 92, 'max_drr': 168, 'total_no_repeat': 2686550, 'total_max_streak': 4028855, 'total_drr': 13128852, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.91498, 'min_no_repeat': 4, 'max_no_repeat': 72, 'avg_max_streak': 54.02938, 'min_max_streak': 19, 'max_max_streak': 104, 'avg_drr': 173.59124, 'min_drr': 134, 'max_drr': 218, 'total_no_repeat': 3091498, 'total_max_streak': 5402938, 'total_drr': 17359124, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.93822, 'min_no_repeat': 4, 'max_no_repeat': 74, 'avg_max_streak': 69.80919, 'min_max_streak': 29, 'max_max_streak': 131, 'avg_drr': 221.79444, 'min_drr': 174, 'max_drr': 268, 'total_no_repeat': 3493822, 'total_max_streak': 6980919, 'total_drr': 22179444, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.93578, 'min_no_repeat': 8, 'max_no_repeat': 88, 'avg_max_streak': 87.5426, 'min_max_streak': 38, 'max_max_streak': 148, 'avg_drr': 275.79574, 'min_drr': 224, 'max_drr': 330, 'total_no_repeat': 3893578, 'total_max_streak': 8754260, 'total_drr': 27579574, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.90304, 'min_no_repeat': 8, 'max_no_repeat': 92, 'avg_max_streak': 107.25237, 'min_max_streak': 44, 'max_max_streak': 183, 'avg_drr': 335.84576, 'min_drr': 280, 'max_drr': 396, 'total_no_repeat': 4290304, 'total_max_streak': 10725237, 'total_drr': 33584576, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 46.93624, 'min_no_repeat': 10, 'max_no_repeat': 96, 'avg_max_streak': 129.11864, 'min_max_streak': 69, 'max_max_streak': 223, 'avg_drr': 401.77442, 'min_drr': 340, 'max_drr': 462, 'total_no_repeat': 4693624, 'total_max_streak': 12911864, 'total_drr': 40177442, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 50.927, 'min_no_repeat': 12, 'max_no_repeat': 100, 'avg_max_streak': 152.71448, 'min_max_streak': 89, 'max_max_streak': 246, 'avg_drr': 473.40082, 'min_drr': 406, 'max_drr': 542, 'total_no_repeat': 5092700, 'total_max_streak': 15271448, 'total_drr': 47340082, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 54.92582, 'min_no_repeat': 14, 'max_no_repeat': 108, 'avg_max_streak': 178.49326, 'min_max_streak': 109, 'max_max_streak': 266, 'avg_drr': 551.03128, 'min_drr': 472, 'max_drr': 628, 'total_no_repeat': 5492582, 'total_max_streak': 17849326, 'total_drr': 55103128, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 30, 'avg_no_repeat': 58.98762, 'min_no_repeat': 18, 'max_no_repeat': 108, 'avg_max_streak': 206.16898, 'min_max_streak': 125, 'max_max_streak': 308, 'avg_drr': 634.49772, 'min_drr': 548, 'max_drr': 712, 'total_no_repeat': 5898762, 'total_max_streak': 20616898, 'total_drr': 63449772, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 32, 'avg_no_repeat': 62.9232, 'min_no_repeat': 20, 'max_no_repeat': 116, 'avg_max_streak': 236.01627, 'min_max_streak': 151, 'max_max_streak': 328, 'avg_drr': 724.02852, 'min_drr': 638, 'max_drr': 808, 'total_no_repeat': 6292320, 'total_max_streak': 23601627, 'total_drr': 72402852, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 34, 'avg_no_repeat': 66.99286, 'min_no_repeat': 22, 'max_no_repeat': 124, 'avg_max_streak': 267.93582, 'min_max_streak': 182, 'max_max_streak': 369, 'avg_drr': 819.19342, 'min_drr': 722, 'max_drr': 914, 'total_no_repeat': 6699286, 'total_max_streak': 26793582, 'total_drr': 81919342, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 36, 'avg_no_repeat': 70.9104, 'min_no_repeat': 26, 'max_no_repeat': 128, 'avg_max_streak': 301.4494, 'min_max_streak': 210, 'max_max_streak': 416, 'avg_drr': 920.49818, 'min_drr': 828, 'max_drr': 1028, 'total_no_repeat': 7091040, 'total_max_streak': 30144940, 'total_drr': 92049818, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 38, 'avg_no_repeat': 74.93774, 'min_no_repeat': 32, 'max_no_repeat': 132, 'avg_max_streak': 337.25685, 'min_max_streak': 223, 'max_max_streak': 463, 'avg_drr': 1027.57486, 'min_drr': 930, 'max_drr': 1128, 'total_no_repeat': 7493774, 'total_max_streak': 33725685, 'total_drr': 102757486, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 40, 'avg_no_repeat': 78.99464, 'min_no_repeat': 30, 'max_no_repeat': 138, 'avg_max_streak': 375.1637, 'min_max_streak': 261, 'max_max_streak': 513, 'avg_drr': 1140.38478, 'min_drr': 1036, 'max_drr': 1258, 'total_no_repeat': 7899464, 'total_max_streak': 37516370, 'total_drr': 114038478, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 42, 'avg_no_repeat': 82.92928, 'min_no_repeat': 30, 'max_no_repeat': 146, 'avg_max_streak': 414.65355, 'min_max_streak': 299, 'max_max_streak': 542, 'avg_drr': 1259.24106, 'min_drr': 1142, 'max_drr': 1372, 'total_no_repeat': 8292928, 'total_max_streak': 41465355, 'total_drr': 125924106, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 44, 'avg_no_repeat': 87.06438, 'min_no_repeat': 38, 'max_no_repeat': 148, 'avg_max_streak': 456.34682, 'min_max_streak': 322, 'max_max_streak': 612, 'avg_drr': 1384.02476, 'min_drr': 1260, 'max_drr': 1490, 'total_no_repeat': 8706438, 'total_max_streak': 45634682, 'total_drr': 138402476, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 46, 'avg_no_repeat': 91.01018, 'min_no_repeat': 34, 'max_no_repeat': 152, 'avg_max_streak': 500.12438, 'min_max_streak': 382, 'max_max_streak': 662, 'avg_drr': 1514.59242, 'min_drr': 1392, 'max_drr': 1634, 'total_no_repeat': 9101018, 'total_max_streak': 50012438, 'total_drr': 151459242, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 48, 'avg_no_repeat': 94.96258, 'min_no_repeat': 40, 'max_no_repeat': 158, 'avg_max_streak': 545.8261, 'min_max_streak': 407, 'max_max_streak': 681, 'avg_drr': 1651.08414, 'min_drr': 1530, 'max_drr': 1788, 'total_no_repeat': 9496258, 'total_max_streak': 54582610, 'total_drr': 165108414, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 50, 'avg_no_repeat': 99.02356, 'min_no_repeat': 42, 'max_no_repeat': 164, 'avg_max_streak': 593.64626, 'min_max_streak': 448, 'max_max_streak': 750, 'avg_drr': 1793.3166, 'min_drr': 1662, 'max_drr': 1942, 'total_no_repeat': 9902356, 'total_max_streak': 59364626, 'total_drr': 179331660, 'valid_count': 0, 'valid_percentage': 0.0}
