Results for maxStreak = 4, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 6.65468, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 0.5008, 'min_max_streak': 0, 'max_max_streak': 8, 'avg_drr': 8.03928, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 665468, 'total_max_streak': 50080, 'total_drr': 803928, 'valid_count': 69, 'valid_percentage': 0.069}
{'teams': 6, 'avg_no_repeat': 10.80336, 'min_no_repeat': 0, 'max_no_repeat': 36, 'avg_max_streak': 2.24505, 'min_max_streak': 0, 'max_max_streak': 22, 'avg_drr': 20.90604, 'min_drr': 4, 'max_drr': 36, 'total_no_repeat': 1080336, 'total_max_streak': 224505, 'total_drr': 2090604, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.84388, 'min_no_repeat': 0, 'max_no_repeat': 48, 'avg_max_streak': 4.98624, 'min_max_streak': 0, 'max_max_streak': 29, 'avg_drr': 39.67198, 'min_drr': 20, 'max_drr': 60, 'total_no_repeat': 1484388, 'total_max_streak': 498624, 'total_drr': 3967198, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.8555, 'min_no_repeat': 0, 'max_no_repeat': 54, 'avg_max_streak': 8.73832, 'min_max_streak': 0, 'max_max_streak': 42, 'avg_drr': 64.32548, 'min_drr': 38, 'max_drr': 92, 'total_no_repeat': 1885550, 'total_max_streak': 873832, 'total_drr': 6432548, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.8997, 'min_no_repeat': 0, 'max_no_repeat': 58, 'avg_max_streak': 13.49178, 'min_max_streak': 0, 'max_max_streak': 50, 'avg_drr': 94.909, 'min_drr': 60, 'max_drr': 128, 'total_no_repeat': 2289970, 'total_max_streak': 1349178, 'total_drr': 9490900, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.92906, 'min_no_repeat': 2, 'max_no_repeat': 64, 'avg_max_streak': 19.21935, 'min_max_streak': 0, 'max_max_streak': 58, 'avg_drr': 131.23506, 'min_drr': 96, 'max_drr': 170, 'total_no_repeat': 2692906, 'total_max_streak': 1921935, 'total_drr': 13123506, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.89896, 'min_no_repeat': 4, 'max_no_repeat': 72, 'avg_max_streak': 25.94798, 'min_max_streak': 2, 'max_max_streak': 72, 'avg_drr': 173.59676, 'min_drr': 132, 'max_drr': 218, 'total_no_repeat': 3089896, 'total_max_streak': 2594798, 'total_drr': 17359676, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.93558, 'min_no_repeat': 4, 'max_no_repeat': 76, 'avg_max_streak': 33.78694, 'min_max_streak': 5, 'max_max_streak': 78, 'avg_drr': 221.81684, 'min_drr': 170, 'max_drr': 272, 'total_no_repeat': 3493558, 'total_max_streak': 3378694, 'total_drr': 22181684, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.98244, 'min_no_repeat': 8, 'max_no_repeat': 78, 'avg_max_streak': 42.5171, 'min_max_streak': 9, 'max_max_streak': 96, 'avg_drr': 275.93338, 'min_drr': 222, 'max_drr': 330, 'total_no_repeat': 3898244, 'total_max_streak': 4251710, 'total_drr': 27593338, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.97644, 'min_no_repeat': 8, 'max_no_repeat': 88, 'avg_max_streak': 52.21708, 'min_max_streak': 16, 'max_max_streak': 103, 'avg_drr': 335.8228, 'min_drr': 264, 'max_drr': 396, 'total_no_repeat': 4297644, 'total_max_streak': 5221708, 'total_drr': 33582280, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 46.94934, 'min_no_repeat': 12, 'max_no_repeat': 98, 'avg_max_streak': 62.97059, 'min_max_streak': 17, 'max_max_streak': 124, 'avg_drr': 401.68474, 'min_drr': 342, 'max_drr': 480, 'total_no_repeat': 4694934, 'total_max_streak': 6297059, 'total_drr': 40168474, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 50.94488, 'min_no_repeat': 12, 'max_no_repeat': 106, 'avg_max_streak': 74.77927, 'min_max_streak': 25, 'max_max_streak': 142, 'avg_drr': 473.35354, 'min_drr': 378, 'max_drr': 544, 'total_no_repeat': 5094488, 'total_max_streak': 7477927, 'total_drr': 47335354, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 55.00332, 'min_no_repeat': 14, 'max_no_repeat': 106, 'avg_max_streak': 87.46089, 'min_max_streak': 34, 'max_max_streak': 162, 'avg_drr': 550.93144, 'min_drr': 484, 'max_drr': 630, 'total_no_repeat': 5500332, 'total_max_streak': 8746089, 'total_drr': 55093144, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 30, 'avg_no_repeat': 58.97144, 'min_no_repeat': 10, 'max_no_repeat': 116, 'avg_max_streak': 101.19122, 'min_max_streak': 42, 'max_max_streak': 173, 'avg_drr': 634.59638, 'min_drr': 548, 'max_drr': 720, 'total_no_repeat': 5897144, 'total_max_streak': 10119122, 'total_drr': 63459638, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 32, 'avg_no_repeat': 62.9871, 'min_no_repeat': 22, 'max_no_repeat': 116, 'avg_max_streak': 116.09305, 'min_max_streak': 55, 'max_max_streak': 193, 'avg_drr': 724.00168, 'min_drr': 636, 'max_drr': 808, 'total_no_repeat': 6298710, 'total_max_streak': 11609305, 'total_drr': 72400168, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 34, 'avg_no_repeat': 66.95092, 'min_no_repeat': 22, 'max_no_repeat': 130, 'avg_max_streak': 131.8468, 'min_max_streak': 61, 'max_max_streak': 214, 'avg_drr': 819.26522, 'min_drr': 728, 'max_drr': 918, 'total_no_repeat': 6695092, 'total_max_streak': 13184680, 'total_drr': 81926522, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 36, 'avg_no_repeat': 71.00446, 'min_no_repeat': 26, 'max_no_repeat': 126, 'avg_max_streak': 148.50477, 'min_max_streak': 75, 'max_max_streak': 244, 'avg_drr': 920.37556, 'min_drr': 820, 'max_drr': 1012, 'total_no_repeat': 7100446, 'total_max_streak': 14850477, 'total_drr': 92037556, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 38, 'avg_no_repeat': 75.0108, 'min_no_repeat': 30, 'max_no_repeat': 134, 'avg_max_streak': 166.18485, 'min_max_streak': 91, 'max_max_streak': 269, 'avg_drr': 1027.42924, 'min_drr': 924, 'max_drr': 1120, 'total_no_repeat': 7501080, 'total_max_streak': 16618485, 'total_drr': 102742924, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 40, 'avg_no_repeat': 78.9684, 'min_no_repeat': 26, 'max_no_repeat': 140, 'avg_max_streak': 184.89908, 'min_max_streak': 103, 'max_max_streak': 277, 'avg_drr': 1140.4169, 'min_drr': 1024, 'max_drr': 1254, 'total_no_repeat': 7896840, 'total_max_streak': 18489908, 'total_drr': 114041690, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 42, 'avg_no_repeat': 83.02432, 'min_no_repeat': 32, 'max_no_repeat': 144, 'avg_max_streak': 204.70879, 'min_max_streak': 117, 'max_max_streak': 308, 'avg_drr': 1259.33754, 'min_drr': 1128, 'max_drr': 1378, 'total_no_repeat': 8302432, 'total_max_streak': 20470879, 'total_drr': 125933754, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 44, 'avg_no_repeat': 86.92644, 'min_no_repeat': 36, 'max_no_repeat': 148, 'avg_max_streak': 225.39734, 'min_max_streak': 137, 'max_max_streak': 331, 'avg_drr': 1383.82076, 'min_drr': 1256, 'max_drr': 1504, 'total_no_repeat': 8692644, 'total_max_streak': 22539734, 'total_drr': 138382076, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 46, 'avg_no_repeat': 91.0092, 'min_no_repeat': 36, 'max_no_repeat': 160, 'avg_max_streak': 247.26294, 'min_max_streak': 156, 'max_max_streak': 361, 'avg_drr': 1514.5416, 'min_drr': 1370, 'max_drr': 1630, 'total_no_repeat': 9100920, 'total_max_streak': 24726294, 'total_drr': 151454160, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 48, 'avg_no_repeat': 94.98272, 'min_no_repeat': 38, 'max_no_repeat': 166, 'avg_max_streak': 270.08635, 'min_max_streak': 161, 'max_max_streak': 380, 'avg_drr': 1650.88314, 'min_drr': 1516, 'max_drr': 1786, 'total_no_repeat': 9498272, 'total_max_streak': 27008635, 'total_drr': 165088314, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 50, 'avg_no_repeat': 98.98276, 'min_no_repeat': 46, 'max_no_repeat': 164, 'avg_max_streak': 293.65211, 'min_max_streak': 189, 'max_max_streak': 417, 'avg_drr': 1793.30212, 'min_drr': 1672, 'max_drr': 1918, 'total_no_repeat': 9898276, 'total_max_streak': 29365211, 'total_drr': 179330212, 'valid_count': 0, 'valid_percentage': 0.0}
