Results for maxStreak = 3, noRepeat = 4, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 0.01696, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 1.50286, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.03582, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 1696, 'total_max_streak': 150286, 'total_drr': 803582, 'valid_count': 184, 'valid_percentage': 0.184}
{'teams': 6, 'avg_no_repeat': 0.00942, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 5.24653, 'min_max_streak': 0, 'max_max_streak': 25, 'avg_drr': 20.92062, 'min_drr': 8, 'max_drr': 36, 'total_no_repeat': 942, 'total_max_streak': 524653, 'total_drr': 2092062, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 0.00412, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 10.97599, 'min_max_streak': 0, 'max_max_streak': 37, 'avg_drr': 39.6531, 'min_drr': 20, 'max_drr': 62, 'total_no_repeat': 412, 'total_max_streak': 1097599, 'total_drr': 3965310, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 0.00196, 'min_no_repeat': 0, 'max_no_repeat': 6, 'avg_max_streak': 18.72765, 'min_max_streak': 0, 'max_max_streak': 53, 'avg_drr': 64.33356, 'min_drr': 36, 'max_drr': 88, 'total_no_repeat': 196, 'total_max_streak': 1872765, 'total_drr': 6433356, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 0.00106, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 28.48467, 'min_max_streak': 3, 'max_max_streak': 72, 'avg_drr': 94.86546, 'min_drr': 62, 'max_drr': 126, 'total_no_repeat': 106, 'total_max_streak': 2848467, 'total_drr': 9486546, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 0.00068, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 40.2482, 'min_max_streak': 8, 'max_max_streak': 86, 'avg_drr': 131.24942, 'min_drr': 96, 'max_drr': 168, 'total_no_repeat': 68, 'total_max_streak': 4024820, 'total_drr': 13124942, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 0.00036, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 53.99365, 'min_max_streak': 17, 'max_max_streak': 102, 'avg_drr': 173.56352, 'min_drr': 130, 'max_drr': 212, 'total_no_repeat': 36, 'total_max_streak': 5399365, 'total_drr': 17356352, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 0.00038, 'min_no_repeat': 0, 'max_no_repeat': 4, 'avg_max_streak': 69.76031, 'min_max_streak': 26, 'max_max_streak': 123, 'avg_drr': 221.73728, 'min_drr': 178, 'max_drr': 268, 'total_no_repeat': 38, 'total_max_streak': 6976031, 'total_drr': 22173728, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 0.00018, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 87.54813, 'min_max_streak': 39, 'max_max_streak': 152, 'avg_drr': 275.84752, 'min_drr': 214, 'max_drr': 332, 'total_no_repeat': 18, 'total_max_streak': 8754813, 'total_drr': 27584752, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 0.00014, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 107.16958, 'min_max_streak': 52, 'max_max_streak': 171, 'avg_drr': 335.77592, 'min_drr': 270, 'max_drr': 392, 'total_no_repeat': 14, 'total_max_streak': 10716958, 'total_drr': 33577592, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 6e-05, 'min_no_repeat': 0, 'max_no_repeat': 2, 'avg_max_streak': 129.02192, 'min_max_streak': 67, 'max_max_streak': 206, 'avg_drr': 401.74436, 'min_drr': 340, 'max_drr': 466, 'total_no_repeat': 6, 'total_max_streak': 12902192, 'total_drr': 40174436, 'valid_count': 0, 'valid_percentage': 0.0}
