Results for maxStreak = 2, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 6.6428, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 3.99531, 'min_max_streak': 0, 'max_max_streak': 16, 'avg_drr': 8.02084, 'min_drr': 0, 'max_drr': 18, 'total_no_repeat': 664280, 'total_max_streak': 399531, 'total_drr': 802084, 'valid_count': 13, 'valid_percentage': 0.013}
{'teams': 6, 'avg_no_repeat': 10.7901, 'min_no_repeat': 0, 'max_no_repeat': 36, 'avg_max_streak': 12.01144, 'min_max_streak': 0, 'max_max_streak': 33, 'avg_drr': 20.90608, 'min_drr': 6, 'max_drr': 38, 'total_no_repeat': 1079010, 'total_max_streak': 1201144, 'total_drr': 2090608, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.83188, 'min_no_repeat': 0, 'max_no_repeat': 44, 'avg_max_streak': 24.01577, 'min_max_streak': 4, 'max_max_streak': 52, 'avg_drr': 39.65822, 'min_drr': 18, 'max_drr': 60, 'total_no_repeat': 1483188, 'total_max_streak': 2401577, 'total_drr': 3965822, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.90052, 'min_no_repeat': 0, 'max_no_repeat': 52, 'avg_max_streak': 40.01666, 'min_max_streak': 11, 'max_max_streak': 76, 'avg_drr': 64.31752, 'min_drr': 40, 'max_drr': 96, 'total_no_repeat': 1890052, 'total_max_streak': 4001666, 'total_drr': 6431752, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.90036, 'min_no_repeat': 0, 'max_no_repeat': 60, 'avg_max_streak': 59.996, 'min_max_streak': 23, 'max_max_streak': 101, 'avg_drr': 94.8746, 'min_drr': 64, 'max_drr': 126, 'total_no_repeat': 2290036, 'total_max_streak': 5999600, 'total_drr': 9487460, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.867, 'min_no_repeat': 2, 'max_no_repeat': 66, 'avg_max_streak': 84.0118, 'min_max_streak': 43, 'max_max_streak': 141, 'avg_drr': 131.29438, 'min_drr': 96, 'max_drr': 168, 'total_no_repeat': 2686700, 'total_max_streak': 8401180, 'total_drr': 13129438, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.96374, 'min_no_repeat': 4, 'max_no_repeat': 72, 'avg_max_streak': 112.07014, 'min_max_streak': 67, 'max_max_streak': 165, 'avg_drr': 173.59872, 'min_drr': 130, 'max_drr': 216, 'total_no_repeat': 3096374, 'total_max_streak': 11207014, 'total_drr': 17359872, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.94978, 'min_no_repeat': 4, 'max_no_repeat': 78, 'avg_max_streak': 144.08864, 'min_max_streak': 91, 'max_max_streak': 204, 'avg_drr': 221.77114, 'min_drr': 176, 'max_drr': 274, 'total_no_repeat': 3494978, 'total_max_streak': 14408864, 'total_drr': 22177114, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.93868, 'min_no_repeat': 8, 'max_no_repeat': 82, 'avg_max_streak': 180.12196, 'min_max_streak': 119, 'max_max_streak': 247, 'avg_drr': 275.85858, 'min_drr': 218, 'max_drr': 332, 'total_no_repeat': 3893868, 'total_max_streak': 18012196, 'total_drr': 27585858, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.94108, 'min_no_repeat': 10, 'max_no_repeat': 94, 'avg_max_streak': 220.00801, 'min_max_streak': 137, 'max_max_streak': 294, 'avg_drr': 335.8683, 'min_drr': 274, 'max_drr': 396, 'total_no_repeat': 4294108, 'total_max_streak': 22000801, 'total_drr': 33586830, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 46.94504, 'min_no_repeat': 8, 'max_no_repeat': 102, 'avg_max_streak': 263.9597, 'min_max_streak': 165, 'max_max_streak': 351, 'avg_drr': 401.63342, 'min_drr': 340, 'max_drr': 474, 'total_no_repeat': 4694504, 'total_max_streak': 26395970, 'total_drr': 40163342, 'valid_count': 0, 'valid_percentage': 0.0}
