Results for maxStreak = 5, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 6.6694, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 0.12545, 'min_max_streak': 0, 'max_max_streak': 4, 'avg_drr': 8.042, 'min_drr': 0, 'max_drr': 18, 'total_no_repeat': 666940, 'total_max_streak': 12545, 'total_drr': 804200, 'valid_count': 62, 'valid_percentage': 0.062}
{'teams': 6, 'avg_no_repeat': 10.78078, 'min_no_repeat': 0, 'max_no_repeat': 38, 'avg_max_streak': 0.93578, 'min_max_streak': 0, 'max_max_streak': 13, 'avg_drr': 20.9185, 'min_drr': 4, 'max_drr': 38, 'total_no_repeat': 1078078, 'total_max_streak': 93578, 'total_drr': 2091850, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 14.84546, 'min_no_repeat': 0, 'max_no_repeat': 44, 'avg_max_streak': 2.253, 'min_max_streak': 0, 'max_max_streak': 22, 'avg_drr': 39.69854, 'min_drr': 20, 'max_drr': 62, 'total_no_repeat': 1484546, 'total_max_streak': 225300, 'total_drr': 3969854, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 18.88938, 'min_no_repeat': 0, 'max_no_repeat': 54, 'avg_max_streak': 4.04728, 'min_max_streak': 0, 'max_max_streak': 27, 'avg_drr': 64.31638, 'min_drr': 36, 'max_drr': 92, 'total_no_repeat': 1888938, 'total_max_streak': 404728, 'total_drr': 6431638, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 22.92948, 'min_no_repeat': 2, 'max_no_repeat': 64, 'avg_max_streak': 6.3682, 'min_max_streak': 0, 'max_max_streak': 38, 'avg_drr': 94.89848, 'min_drr': 64, 'max_drr': 128, 'total_no_repeat': 2292948, 'total_max_streak': 636820, 'total_drr': 9489848, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 26.92734, 'min_no_repeat': 0, 'max_no_repeat': 66, 'avg_max_streak': 9.18227, 'min_max_streak': 0, 'max_max_streak': 39, 'avg_drr': 131.26042, 'min_drr': 94, 'max_drr': 172, 'total_no_repeat': 2692734, 'total_max_streak': 918227, 'total_drr': 13126042, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 30.94778, 'min_no_repeat': 4, 'max_no_repeat': 74, 'avg_max_streak': 12.4884, 'min_max_streak': 0, 'max_max_streak': 52, 'avg_drr': 173.56986, 'min_drr': 130, 'max_drr': 216, 'total_no_repeat': 3094778, 'total_max_streak': 1248840, 'total_drr': 17356986, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 34.93214, 'min_no_repeat': 8, 'max_no_repeat': 78, 'avg_max_streak': 16.32259, 'min_max_streak': 0, 'max_max_streak': 53, 'avg_drr': 221.74452, 'min_drr': 172, 'max_drr': 268, 'total_no_repeat': 3493214, 'total_max_streak': 1632259, 'total_drr': 22174452, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 38.90786, 'min_no_repeat': 6, 'max_no_repeat': 82, 'avg_max_streak': 20.63367, 'min_max_streak': 0, 'max_max_streak': 60, 'avg_drr': 275.88818, 'min_drr': 218, 'max_drr': 326, 'total_no_repeat': 3890786, 'total_max_streak': 2063367, 'total_drr': 27588818, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 42.952, 'min_no_repeat': 10, 'max_no_repeat': 94, 'avg_max_streak': 25.46448, 'min_max_streak': 1, 'max_max_streak': 68, 'avg_drr': 335.87612, 'min_drr': 280, 'max_drr': 392, 'total_no_repeat': 4295200, 'total_max_streak': 2546448, 'total_drr': 33587612, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 46.98198, 'min_no_repeat': 12, 'max_no_repeat': 96, 'avg_max_streak': 30.7949, 'min_max_streak': 4, 'max_max_streak': 82, 'avg_drr': 401.75482, 'min_drr': 340, 'max_drr': 470, 'total_no_repeat': 4698198, 'total_max_streak': 3079490, 'total_drr': 40175482, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 26, 'avg_no_repeat': 50.9239, 'min_no_repeat': 16, 'max_no_repeat': 98, 'avg_max_streak': 36.52993, 'min_max_streak': 5, 'max_max_streak': 91, 'avg_drr': 473.47464, 'min_drr': 404, 'max_drr': 542, 'total_no_repeat': 5092390, 'total_max_streak': 3652993, 'total_drr': 47347464, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 28, 'avg_no_repeat': 54.97426, 'min_no_repeat': 12, 'max_no_repeat': 106, 'avg_max_streak': 42.90981, 'min_max_streak': 7, 'max_max_streak': 100, 'avg_drr': 551.09526, 'min_drr': 476, 'max_drr': 630, 'total_no_repeat': 5497426, 'total_max_streak': 4290981, 'total_drr': 55109526, 'valid_count': 0, 'valid_percentage': 0.0}
