Results for maxStreak = 3, noRepeat = 1, repetitions = 100000

{'teams': 4, 'avg_no_repeat': 1.74968, 'min_no_repeat': 0, 'max_no_repeat': 16, 'avg_max_streak': 1.5047, 'min_max_streak': 0, 'max_max_streak': 12, 'avg_drr': 8.03362, 'min_drr': 0, 'max_drr': 20, 'total_no_repeat': 174968, 'total_max_streak': 150470, 'total_drr': 803362, 'valid_count': 212, 'valid_percentage': 0.212}
{'teams': 6, 'avg_no_repeat': 1.9261, 'min_no_repeat': 0, 'max_no_repeat': 24, 'avg_max_streak': 5.25263, 'min_max_streak': 0, 'max_max_streak': 24, 'avg_drr': 20.92412, 'min_drr': 6, 'max_drr': 40, 'total_no_repeat': 192610, 'total_max_streak': 525263, 'total_drr': 2092412, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 8, 'avg_no_repeat': 1.96702, 'min_no_repeat': 0, 'max_no_repeat': 24, 'avg_max_streak': 10.98673, 'min_max_streak': 0, 'max_max_streak': 41, 'avg_drr': 39.68244, 'min_drr': 20, 'max_drr': 60, 'total_no_repeat': 196702, 'total_max_streak': 1098673, 'total_drr': 3968244, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 10, 'avg_no_repeat': 1.97236, 'min_no_repeat': 0, 'max_no_repeat': 20, 'avg_max_streak': 18.72312, 'min_max_streak': 0, 'max_max_streak': 53, 'avg_drr': 64.38128, 'min_drr': 38, 'max_drr': 92, 'total_no_repeat': 197236, 'total_max_streak': 1872312, 'total_drr': 6438128, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 12, 'avg_no_repeat': 1.97942, 'min_no_repeat': 0, 'max_no_repeat': 18, 'avg_max_streak': 28.49708, 'min_max_streak': 2, 'max_max_streak': 70, 'avg_drr': 94.88912, 'min_drr': 62, 'max_drr': 124, 'total_no_repeat': 197942, 'total_max_streak': 2849708, 'total_drr': 9488912, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 14, 'avg_no_repeat': 1.98858, 'min_no_repeat': 0, 'max_no_repeat': 18, 'avg_max_streak': 40.22963, 'min_max_streak': 9, 'max_max_streak': 92, 'avg_drr': 131.29632, 'min_drr': 96, 'max_drr': 174, 'total_no_repeat': 198858, 'total_max_streak': 4022963, 'total_drr': 13129632, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 16, 'avg_no_repeat': 1.98942, 'min_no_repeat': 0, 'max_no_repeat': 18, 'avg_max_streak': 54.02363, 'min_max_streak': 17, 'max_max_streak': 105, 'avg_drr': 173.6203, 'min_drr': 132, 'max_drr': 214, 'total_no_repeat': 198942, 'total_max_streak': 5402363, 'total_drr': 17362030, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 18, 'avg_no_repeat': 1.99144, 'min_no_repeat': 0, 'max_no_repeat': 16, 'avg_max_streak': 69.72248, 'min_max_streak': 28, 'max_max_streak': 130, 'avg_drr': 221.8699, 'min_drr': 170, 'max_drr': 268, 'total_no_repeat': 199144, 'total_max_streak': 6972248, 'total_drr': 22186990, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 20, 'avg_no_repeat': 1.99412, 'min_no_repeat': 0, 'max_no_repeat': 18, 'avg_max_streak': 87.45152, 'min_max_streak': 39, 'max_max_streak': 153, 'avg_drr': 275.83416, 'min_drr': 222, 'max_drr': 334, 'total_no_repeat': 199412, 'total_max_streak': 8745152, 'total_drr': 27583416, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 22, 'avg_no_repeat': 1.99554, 'min_no_repeat': 0, 'max_no_repeat': 16, 'avg_max_streak': 107.20809, 'min_max_streak': 51, 'max_max_streak': 173, 'avg_drr': 335.91064, 'min_drr': 270, 'max_drr': 402, 'total_no_repeat': 199554, 'total_max_streak': 10720809, 'total_drr': 33591064, 'valid_count': 0, 'valid_percentage': 0.0}
{'teams': 24, 'avg_no_repeat': 1.98858, 'min_no_repeat': 0, 'max_no_repeat': 16, 'avg_max_streak': 129.08644, 'min_max_streak': 69, 'max_max_streak': 210, 'avg_drr': 401.72404, 'min_drr': 338, 'max_drr': 466, 'total_no_repeat': 198858, 'total_max_streak': 12908644, 'total_drr': 40172404, 'valid_count': 0, 'valid_percentage': 0.0}
